epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,12244.1,1.45416,0.60273,0.96911,0.92551,0.89133,0.94338,0.49122,1.58361,0.60171,1.00386,0.002872,0.002872,0.002872
146,12326,1.43865,0.59885,0.9687,0.92748,0.89111,0.94405,0.4896,1.59207,0.60396,1.0077,0.0028225,0.0028225,0.0028225
147,12408.1,1.44577,0.59798,0.97053,0.92285,0.8944,0.944,0.49112,1.5904,0.60259,1.00681,0.002773,0.002773,0.002773
148,12490.1,1.43935,0.59746,0.96501,0.9269,0.89189,0.94382,0.48872,1.59904,0.60582,1.00937,0.0027235,0.0027235,0.0027235
149,12572.5,1.45501,0.60147,0.9691,0.92455,0.8919,0.9439,0.48689,1.5976,0.60577,1.01001,0.002674,0.002674,0.002674
150,12655,1.44262,0.59607,0.96799,0.92443,0.89445,0.94443,0.49058,1.58975,0.60335,1.00744,0.0026245,0.0026245,0.0026245
151,12736.9,1.4344,0.59388,0.96461,0.92547,0.89572,0.94507,0.49345,1.58086,0.59919,1.00432,0.002575,0.002575,0.002575
152,12819.8,1.4309,0.59277,0.96497,0.92472,0.89414,0.94504,0.49102,1.58748,0.60068,1.00608,0.0025255,0.0025255,0.0025255
153,12901.9,1.43995,0.59764,0.96406,0.92204,0.89483,0.94503,0.49119,1.58783,0.6017,1.0059,0.002476,0.002476,0.002476
154,12983.9,1.44175,0.59815,0.96473,0.92622,0.89123,0.94477,0.49116,1.58885,0.60264,1.00484,0.0024265,0.0024265,0.0024265
155,13066,1.43388,0.59247,0.9652,0.92618,0.89181,0.94559,0.48914,1.59308,0.60243,1.00712,0.002377,0.002377,0.002377
156,13149,1.43989,0.59289,0.96309,0.92536,0.89189,0.94506,0.48978,1.59113,0.60175,1.00624,0.0023275,0.0023275,0.0023275
157,13231,1.43708,0.59436,0.96086,0.92411,0.89152,0.94431,0.48887,1.59487,0.60271,1.0069,0.002278,0.002278,0.002278
158,13313.1,1.43193,0.59181,0.96003,0.92446,0.89312,0.94532,0.48859,1.59627,0.60231,1.00656,0.0022285,0.0022285,0.0022285
159,13395.8,1.4305,0.58875,0.95981,0.92452,0.89407,0.94562,0.48893,1.59968,0.60255,1.00751,0.002179,0.002179,0.002179
160,13477.6,1.42666,0.58958,0.96141,0.92385,0.89624,0.94619,0.48796,1.60221,0.60341,1.00872,0.0021295,0.0021295,0.0021295
161,13559.7,1.4234,0.58686,0.96062,0.92657,0.89463,0.94673,0.48859,1.60025,0.6025,1.00885,0.00208,0.00208,0.00208
162,13641.5,1.42913,0.58905,0.96033,0.92849,0.89369,0.9459,0.49005,1.59814,0.60094,1.00816,0.0020305,0.0020305,0.0020305
163,13724.2,1.42549,0.58752,0.96018,0.92929,0.89284,0.94668,0.49073,1.5968,0.60104,1.00822,0.001981,0.001981,0.001981
164,13806.5,1.42347,0.58757,0.96132,0.9279,0.89464,0.94678,0.48985,1.59903,0.60118,1.00887,0.0019315,0.0019315,0.0019315
165,13888.4,1.42316,0.58559,0.96055,0.92748,0.89445,0.94674,0.49046,1.59535,0.6014,1.0085,0.001882,0.001882,0.001882
166,13970.5,1.42869,0.58778,0.96024,0.9295,0.89369,0.94744,0.49172,1.59183,0.60117,1.00745,0.0018325,0.0018325,0.0018325
167,14052.7,1.42625,0.58774,0.95817,0.92643,0.8935,0.94651,0.49055,1.59385,0.6015,1.00756,0.001783,0.001783,0.001783
168,14134.7,1.42567,0.58765,0.95794,0.92391,0.89534,0.94669,0.49129,1.59214,0.60107,1.00679,0.0017335,0.0017335,0.0017335
169,14216.5,1.42035,0.58674,0.95964,0.92481,0.89435,0.94592,0.49182,1.5909,0.60043,1.00692,0.001684,0.001684,0.001684
170,14298.2,1.41936,0.58578,0.95774,0.9267,0.89322,0.9459,0.49178,1.59162,0.60004,1.00709,0.0016345,0.0016345,0.0016345
171,14382.8,1.41128,0.57965,0.95803,0.92367,0.89574,0.94515,0.49098,1.5933,0.60011,1.00748,0.001585,0.001585,0.001585
172,14464.8,1.4143,0.58167,0.95684,0.92588,0.89519,0.94619,0.48991,1.59698,0.60079,1.0088,0.0015355,0.0015355,0.0015355
173,14546.8,1.41477,0.58293,0.95641,0.92537,0.89303,0.94473,0.48868,1.59868,0.60179,1.00951,0.001486,0.001486,0.001486
174,14628.9,1.40719,0.57957,0.9549,0.92576,0.8919,0.9451,0.48931,1.59851,0.60099,1.01,0.0014365,0.0014365,0.0014365
175,14711.1,1.41165,0.58043,0.95433,0.92669,0.89145,0.94526,0.49066,1.59585,0.59987,1.00904,0.001387,0.001387,0.001387
